資料集Id,資料集名稱,資料集提供機關名稱,資料集連結,主要欄位說明,資料資源下載連結,資料資源檔案格式,metadata文字編碼
6038,公益彩券銷售及盈餘分配情形,財政部國庫署,data.gov.tw/node/6038,盈餘分配數、銷售金額,http://www.nta.gov.tw/_admin/_upload/Announce/6249/file/公益彩券盈餘分配及銷售量簡表.csv,CSV,UTF-8
6039,綜合所得稅結算申報書統計表,財政部財政資訊中心,data.gov.tw/node/6039,人工申報、二維申報、網路申報、試算服務,http://www.fia.gov.tw/public/Attachment/4111411325671.csv,CSV,UTF-8
6053,海關進出口貿易統計,財政部關務署,data.gov.tw/node/6053,"年度,月份,出口總值,出口,復出口,進口總值,進口,復進口,出入超",http://web.customs.gov.tw/downloadFile.asp?d=1&i=63008&f=391210321771.csv,CSV,UTF-8
6054,國有非公用土地提供綠美化資訊公開,財政部國有財產署,data.gov.tw/node/6054,提供民眾可申辦綠美化之國有非公用土地位置、縣市、鄉鎮市區、地段、地號、面積(平方公尺),http://www.fnp.gov.tw/data.php?type=60&format=csv&lang=zh-tw,CSV,UTF-8
6172,全國財產稅籍持有人數統計表,財政部財政資訊中心,data.gov.tw/node/6172,房屋、土地、車輛、營所稅申報之投資人資料,http://www.fia.gov.tw/public/Attachment/671315332771.csv,CSV,UTF-8
6631,財政部頒訂製造業原物料耗用通常水準最新適用年度,財政部南區國稅局,data.gov.tw/node/6631,行業別、最新適用年度,http://www.ntbsa.gov.tw/etwmain/download?sid=1530cbf7a0c000009d00beaa481a594e,CSV,UTF-8
6671,全國賦稅收入實徵淨額日曆年別-按稅目別分,財政部統計處,data.gov.tw/node/6671,稅目別(包括各項稅課收入等)、統計期(包括各月別及年度別)。,http://web02.mof.gov.tw/njswww/JspProxy.aspx?sys=220&ym=6300&kind=21&type=5&funid=i0421&cycle=41&outmode=2&compmode=00&outkind=11&fldspc=0%2C35%2C&utf=1,CSV,Unicode
6704,關務署轄區報關業者名冊,財政部關務署,data.gov.tw/node/6704,主要欄位有-簡稱、箱號、報關業名稱、電話號碼,http://web.customs.gov.tw/downloadFile.asp?d=1&i=63008&f=5101915223071.csv,CSV,UTF-8
6705,關務署轄區運輸業者名冊,財政部關務署,data.gov.tw/node/6705,主要欄位有-編號、運輸業名稱、地址、電話號碼、統一編號、船公司代碼,http://web.customs.gov.tw/downloadFile.asp?d=1&i=63008&f=510191514571.csv,CSV,UTF-8
6706,關稅及代徵收入,財政部關務署,data.gov.tw/node/6706,"關稅收入主要欄位有-年度、月份、預算數、實收數、超(短)徵數(%)、增(減)%
代徵收入主要欄位有-年度、貨物稅、營業稅、推廣貿易服務費、菸酒稅、健康福利捐、專賣利益、特種貨物及勞務稅、商港建設費及其他、合計",http://web.customs.gov.tw/downloadFile.asp?d=1&i=63008&f=68221624871.csv,CSV,UTF-8
6707,ECFA早期收穫減讓關稅統計表,財政部關務署,data.gov.tw/node/6707,章別、章名、完稅價格、減讓關稅,http://web.customs.gov.tw/public/Attachment/382811525771.csv,CSV,UTF-8
6708,每旬報關匯率,財政部關務署,data.gov.tw/node/6708,主要欄位有-幣別(3碼)、年(3碼)、月(2碼)、旬別(1碼)、賣出(8碼)、買入(8碼),http://web.customs.gov.tw/currency/currency/x86z.txt,TXT,UTF-8
6709,關稅配額進口貨物數量與價值統計表,財政部關務署,data.gov.tw/node/6709,年度、貨名、貨品分類、國家、進口量、累計進口量、進口值、累計進口值,http://web.customs.gov.tw/public/Attachment/391211463471.csv,CSV,UTF-8
6710,與我國簽訂自由貿易協定國家貨品統計,財政部關務署,data.gov.tw/node/6710,年度、貨名、貨品分類、當月數量、本年累計數量、當月價值、本年累計,http://web.customs.gov.tw/downloadFile.asp?d=1&i=63008&f=532515524571.ods,ODS,UTF-8
6711,入境旅客攜帶自用農畜水產品菸酒限量表,財政部關務署,data.gov.tw/node/6711,品名、數量、備註,http://web.customs.gov.tw/public/Attachment/391211435971.csv,CSV,UTF-8
6712,農產品實施特別防衛措施基準數量表,財政部關務署,data.gov.tw/node/6712,項目、稅則號別、平均消費量、平均進口量、市場占有率、基準率、消費變動量、基準數量,http://web.customs.gov.tw/public/Attachment/39121145871.csv,CSV,UTF-8
6713,稅則預先審核案例,財政部關務署,data.gov.tw/node/6713,稅則分類理由(tf_hs_e_reason)、稅則(TF_STANDARD_HS)、稅則號別(tno)、統計號別(sc)、檢查碼(cd)、申報貨品名稱(TF_ENGLISH_COMMODITY)、材質成分(TF_FACTOR_MATERIAL)、功能及用途(TF_FUNCTION)、發文日期(TF_ISSUE_DATE)、發文文號(TF_ISSUE_DOCU_NO)、中文稅則名稱(cnote)、英文稅則名稱(enote),http://web.customs.gov.tw/public/Attachment/3102813304671.csv,CSV,UTF-8
6714,歷年接管土地及房屋數量統計,財政部國有財產署,data.gov.tw/node/6714,年度、接管國有土地面積、接管國有房屋棟數、接管國有房屋面積、接管抵稅土地筆數、接管抵稅土地面積、接管無人承認繼承土地筆數、接管無人承認繼承土地面積,http://www.fnp.gov.tw/opendata/attach.php?source_id=494,CSV,UTF-8
6715,歷年辦理勘查分割土地數量統計,財政部國有財產署,data.gov.tw/node/6715,年度、勘查筆數、分割筆數、合計,http://www.fnp.gov.tw/opendata/attach.php?source_id=495,CSV,UTF-8
6716,歷年自行申辦未登記土地測量登記數量統計,財政部國有財產署,data.gov.tw/node/6716,年度、筆數、面積,http://www.fnp.gov.tw/opendata/attach.php?source_id=496,CSV,UTF-8
6717,歷年國有土地數量統計,財政部國有財產署,data.gov.tw/node/6717,年度、公用土地 筆數、公用土地面積、公用土地價值、非公用土地 筆數、非公用土地面積、非公用土地價值,http://www.fnp.gov.tw/opendata/attach.php?source_id=497,CSV,UTF-8
6718,歷年國有非公用不動產撥用數量統計,財政部國有財產署,data.gov.tw/node/6718,年度、有償筆數、有償面積、有償價值、無償筆數、無償面積、無償價值、學校用地撥用筆數、學校用地撥用面積、道路用地撥用筆數、道路用地撥用面積、公園綠地用地撥用筆數、公園綠地用地撥用面積、市場用地撥用筆數、市場用地撥用面積、辦公廳舍用地撥用筆數、辦公廳舍用地撥用面積、其他用途撥用筆數、其他用途撥用面積,http://www.fnp.gov.tw/opendata/attach.php?source_id=498,CSV,UTF-8
6719,歷年處理被占用國有非公用土地數量統計,財政部國有財產署,data.gov.tw/node/6719,年度、筆(錄)數、面積,http://www.fnp.gov.tw/opendata/attach.php?source_id=499,CSV,UTF-8
6720,歷年國有非公用不動產出租統計,財政部國有財產署,data.gov.tw/node/6720,年度、筆(錄)數、面積、租金收入,http://www.fnp.gov.tw/opendata/attach.php?source_id=500,CSV,UTF-8
6721,歷年有償處分國有非公用土地統計,財政部國有財產署,data.gov.tw/node/6721,年度、筆數、面積、售價收入,http://www.fnp.gov.tw/opendata/attach.php?source_id=501,CSV,UTF-8
6722,歷年與中央或地方主管機關合作或委託辦理國有土地改良利用案件統計,財政部國有財產署,data.gov.tw/node/6722,辦理階段、合作對象、案名、不動產標示、使用分區、簽約時間、合作期間、面積、民間投資金額、預估總收益、分收權利金比例、分收地租比例,http://www.fnp.gov.tw/opendata/attach.php?source_id=502,CSV,UTF-8
6723,歷年設定地上權案件統計,財政部國有財產署,data.gov.tw/node/6723,訂約日期、專案或招標、土地標示、土地面積、權利金、訂約當期年租金,http://www.fnp.gov.tw/opendata/attach.php?source_id=503,CSV,UTF-8
6739,各級政府歲入歲出淨額、餘絀及融資,財政部統計處,data.gov.tw/node/6739,統計項目(歲入淨額、歲出淨額、餘絀、融資收支等)、統計期(各年度別),http://web02.mof.gov.tw/njswww/JspProxy.aspx?sys=220&ym=6300&kind=21&type=1&funid=i0101&cycle=4&outmode=2&compmode=00&outkind=11&fldspc=0%2C10%2C&utf=1,CSV,UTF-8
6740,全國賦稅預算數-按稅目別分,財政部統計處,data.gov.tw/node/6740,稅目別(包括各項稅課收入等)、統計期(包括年度別)。,"http://web02.mof.gov.tw/njswww/JspProxy.aspx?sys=220&ym=9000&kind=21&type=3&funid=i2451&cycle=4&outmode=2&compmode=00&outkind=11&fldspc=0,36,&utf=1",CSV,Unicode
6741,全國賦稅收入實徵淨額日曆年別-按稅目別與機關別分,財政部統計處,data.gov.tw/node/6741,稅目別(包括各項稅課收入等)、機關別(包括稅捐稽徵機關)、統計期(包括各月別及年度別)。,"http://web02.mof.gov.tw/njswww/JspProxy.aspx?sys=220&ym=9000&kind=21&type=5&funid=i0423&cycle=41&outmode=2&compmode=00&outkind=2&fldspc=0,43,&codspc0=0,33,&utf=1",CSV,Unicode
6742,全國賦稅收入實徵淨額日曆年別-按稅目別與地區別分,財政部統計處,data.gov.tw/node/6742,稅目別(包括各項稅課收入等)、地區別(包括各縣市)、統計期(包括各月別及年度別)。,"http://web02.mof.gov.tw/njswww/JspProxy.aspx?sys=220&ym=9000&kind=21&type=5&funid=i0424&cycle=41&outmode=2&compmode=00&outkind=2&fldspc=0,30,&codspc0=0,33,&utf=1",CSV,Unicode
6743,全國賦稅收入實徵淨額日曆年別-按直接稅與間接稅分,財政部統計處,data.gov.tw/node/6743,直、間接稅與統計期(包括各月別及年度別)。,http://web02.mof.gov.tw/njswww/JspProxy.aspx?sys=220&ym=9100&kind=21&type=5&funid=i2425&cycle=41&outmode=2&compmode=00&outkind=11&fldlst=111&utf=1,CSV,Unicode
6744,賦稅負擔率(不含社會安全捐)-按國家別分,財政部統計處,data.gov.tw/node/6744,國家別與統計期(年度別)。,"http://web02.mof.gov.tw/njswww/JspProxy.aspx?sys=220&ym=5400&kind=21&type=5&funid=i2801&cycle=4&outmode=2&compmode=00&outkind=11&fldspc=0,21,&utf=1",CSV,Unicode
6745,中央政府近三年度財政收支結構分析表,財政部國庫署,data.gov.tw/node/6745,「收入」、「支出」,http://www.nta.gov.tw/_admin/_upload/Announce/841/file/中央政府近三年度總預算財政收支結構分析表.csv,CSV,UTF-8
6746,中央普通統籌分配稅款分配情形表,財政部國庫署,data.gov.tw/node/6746,「實撥金額」、「通知分配金額」,http://www.nta.gov.tw/_admin/_upload/Announce/827/file/中央普通統籌分配稅款分配情形表.csv,CSV,UTF-8
6747,公?彩券營業報告書簡表,財政部國庫署,data.gov.tw/node/6747,「本月售出公?彩券券面總?額」、「本月銷管費用」、「本月提?之獎?支出」、「本月認?之逾期未?獎?收入」、「本月可分配盈餘」、「分配予內政部供國民??之用」、「分配予健保局供全民健康保險準備之用」、「分配予地方政府供社會??支出之用」,http://www.nta.gov.tw:8080/_admin/_upload/Announce/7280/file/10408公益彩券營業報告書簡表.csv,CSV,UTF-8
6748,中央政府債務未償餘額占國內生產毛額百分比,財政部國庫署,data.gov.tw/node/6748,「債務未償餘額」、「國內生產毛額」,http://www.nta.gov.tw/_admin/_upload/Announce/754/file/中央政府債務未償餘額占國內生產毛額百分比.csv,CSV,UTF-8
6939,進出口貨品別貿易值－按貿易結構分類,財政部統計處,data.gov.tw/node/6939,"1.	資本設備：凡工業、農業、辦公及家庭用暨其他特殊用途之各種機械設備；電力及電子機械器材與水、陸、空客貨運輸工具均屬之。
2.	農工原料：可供農業及工業生產用之各種原料及零組件均屬之。
3.	消費品：可供直接消費之商品。
4.	農產品：凡從事農、林、漁、牧等生產活動所得之產品均屬之。
5.	農產加工品：凡從事肉類、乳類、果蔬、榖類、魚介等初步加工及裝罐等生產活動所生產之產品均屬之。屠宰及麵食製造之產品亦屬之。
6.	工業產品：包括重化工業產品及非重化工業產品。
(1)	重化工業產品：
i.	產品不以動植物為主要原料，亦不直接供消費者。
ii.	可供消費用之部分機械及電子產品，但其生產過程或為資本密集或需較高技術或具較高單價者。
iii.	化學材料或製品製造之原料。
(2)	非重化工業產品：指重化工業產品以外之工業產品。","http://web02.mof.gov.tw/njswww/JspProxy.aspx?sys=220&ym=7000&kind=21&type=4&funid=i6102&cycle=41&outmode=2&compmode=00&outkind=1&fldlst=11&codspc0=0,10,&utf=1",CSV,UTF-8
6940,中央政府財政收支狀況,財政部國庫署,data.gov.tw/node/6940,「歲入」、「歲出」、「餘絀」,http://www.nta.gov.tw/_admin/_upload/Announce/840/file/中央政府財政收支狀況.csv,CSV,UTF-8
6941,中央政府近10年庫款領取方式統計表,財政部國庫署,data.gov.tw/node/6941,「年度」、「存帳」、「郵寄」、「自領」、「領回轉發」,http://www.nta.gov.tw/_admin/_upload/Announce/5693/file/中央政府近10年庫款領取方式統計表.csv,CSV,UTF-8
6942,進口菸酒生產國家別數量表,財政部國庫署,data.gov.tw/node/6942,「生產國家別」、「產品」、「紙菸」、「酒類」,http://www.nta.gov.tw/_admin/_upload/Announce/8288/pic/files/%E5%90%84%E5%B9%B4%E5%BA%A6%E9%80%B2%E5%8F%A3%E8%8F%B8%E9%85%92%E7%94%9F%E7%94%A2%E5%9C%8B%E5%AE%B6%E5%88%A5%E6%95%B8%E9%87%8F%E8%A1%A8(%E4%BE%9D%E8%8F%B8%E9%85%92%E5%8D%80%E5%88%86).csv,CSV,UTF-8
