資料集Id,資料集名稱,資料集提供機關名稱,資料集連結,主要欄位說明,資料資源下載連結,資料資源檔案格式,metadata文字編碼
25880,桃園市道路挖掘資訊,桃園市政府工務局,data.gov.tw/node/25880,編號、鄉鎮市別、鄉道別、管理單位、管線單位、起、迄、工程名稱、工程地點,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=56c616fe-07d7-4b0c-bb75-e8f8cd75500a&rid=52de3762-1490-4a86-a074-0062d746873b,XML,UTF-8
25881,桃園市公私立醫療機構及病床數,桃園市政府衛生局,data.gov.tw/node/25881,桃園市各區醫院及診所家數，各院的病床數,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=2a889b37-ee8d-4b9c-a2e7-503f5b82b9c5&rid=24aa0266-07d3-4fce-991f-da5c782fe5ae,CSV,UTF-8
25882,桃園市網球場收費標準表,桃園市政府體育局,data.gov.tw/node/25882,收費項目 收費基準,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=9abae442-60ce-4562-88b7-be3cf6d9a461&rid=2aeccff4-6643-4dff-8191-c5d3c2e6b5bc,CSV,UTF-8
25883,桃園市刑事案件分類發生數、破獲數及嫌疑犯人數,桃園市政府警察局,data.gov.tw/node/25883,"年度	轄區	案件種類	發生數	破獲數	嫌疑犯
",http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=e46ace4d-3703-464e-ad77-882af866f987&rid=f34c62fe-349c-45f9-9397-aa0f150ca254,CSV,Big5
25884,桃園市102及103學年度幼兒園基礎評鑑通過名單,桃園市政府教育局,data.gov.tw/node/25884,桃園市102及103學年度幼兒園基礎評鑑通過名單,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=75a9831e-b4ab-4cc1-84b6-1efd6f23c6e5&rid=29ee5df5-28ca-4380-9694-a5a92a2df630,CSV,UTF-8
25885,104年桃園市政府代為標售地籍清理土地標售公告清冊,桃園市政府地政局,data.gov.tw/node/25885,"標號,鄉鎮市區,段,小段,地/建號,面積,使用分區/使用分區類別,權利範圍分子,權利範圍分母,登記名義人,他項權利人姓名或名稱,他項權利種類,標售總底價,保證金,備註",http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=1b6a66c0-029d-4e91-8706-252dfbf3f9cc&rid=1a0b1a40-4628-4053-bf39-ba3c37c5016c,CSV,UTF-8
25886,桃園市機車定檢站名單,桃園市政府環境保護局,data.gov.tw/node/25886,"站號,站名,地址,電話,機車廠牌",http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=548e2835-5f86-4d34-95bf-ca4e04c40b96&rid=321dec5b-bd6c-4c79-9493-22bef5c70eb1,CSV,Big5
25887,桃園市都會區各區原住民族服務員資訊,桃園市政府原住民族行政局,data.gov.tw/node/25887,編號市區別地址聯絡資訊,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=c9d8a18a-cbaa-4e23-812d-cfc34c18508d&rid=ffc05327-b81c-4a3a-b38f-e1ef1c8cef2a,CSV,UTF-8
25888,垃圾車清運點資訊,桃園市政府環境保護局,data.gov.tw/node/25888,序號、行政區、停留路段或地點、經度、緯度、清運時間一、清運時間二至六,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=88bdf93f-1b8d-4e8d-ade5-16670d909f38&rid=0c7bcfbf-b151-4411-b888-9ff685ff7a75,CSV,UTF-8
25889,桃園市社區照顧關懷據點,桃園市政府社會局,data.gov.tw/node/25889,服務區域、據點名稱(申請單位名稱)、設立時間、類型、地址、服務里別、電子郵件、聯絡人、聯絡電話、服務時間(週一至週日對應表)、服務項目(服務項目對應表),http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=93446045-5cfe-4fcb-9659-bed72cdfe7b4&rid=448d90f1-ee5b-4d58-962a-8abaa21034b1,CSV,UTF-8
